"id","batting_order","game_pk","fullName"
680911,"1",717883,"Owen Miller"
655316,"2",717883,"Andruw Monasterio"
661388,"3",717883,"William Contreras"
592885,"4",717883,"Christian Yelich"
605119,"5",717883,"Brian Anderson"
649966,"6",717883,"Luis Urías"
642133,"7",717883,"Rowdy Tellez"
686894,"8",717883,"Joey Wiemer"
663368,"9",717883,"Blake Perkins"
621028,"1",717883,"Kevin Newman"
680574,"2",717883,"Matt McLain"
663697,"3",717883,"Jonathan India"
668715,"4",717883,"Spencer Steer"
663886,"5",717883,"Tyler Stephenson"
666181,"6",717883,"Will Benson"
656413,"7",717883,"Stuart Fairchild"
686759,"8",717883,"TJ Hopkins"
571912,"9",717883,"Luke Maile"
669242,"1",717879,"Tommy Edman"
502671,"2",717879,"Paul Goldschmidt"
571448,"3",717879,"Nolan Arenado"
575929,"4",717879,"Willson Contreras"
663609,"5",717879,"Luken Baker"
657557,"6",717879,"Paul DeJong"
680977,"7",717879,"Brendan Donovan"
691023,"8",717879,"Jordan Walker"
640458,"9",717879,"Óscar Mercado"
543760,"1",717879,"Marcus Semien"
608369,"2",717879,"Corey Seager"
663993,"3",717879,"Nathaniel Lowe"
666969,"4",717879,"Adolis García"
673962,"5",717879,"Josh Jung"
641680,"6",717879,"Jonah Heim"
641598,"7",717879,"Mitch Garver"
677649,"8",717879,"Ezequiel Duran"
665750,"9",717879,"Leody Taveras"
663538,"1",717880,"Nico Hoerner"
621020,"2",717880,"Dansby Swanson"
664023,"3",717880,"Ian Happ"
673548,"4",717880,"Seiya Suzuki"
621550,"5",717880,"Patrick Wisdom"
543228,"6",717880,"Yan Gomes"
641820,"7",717880,"Trey Mancini"
665804,"8",717880,"Miguel Amaya"
666624,"9",717880,"Christopher Morel"
596059,"1",717880,"Rougned Odor"
665487,"2",717880,"Fernando Tatis Jr."
665742,"3",717880,"Juan Soto"
592518,"4",717880,"Manny Machado"
630105,"5",717880,"Jake Cronenworth"
596142,"6",717880,"Gary Sánchez"
572761,"7",717880,"Matt Carpenter"
673490,"8",717880,"Ha-Seong Kim"
